Societe,Date,Annee,Periode,Devise,Echelle,actif_total,actif_courant,actif_immobilise,stocks,clients,liquidites,placements,immo_corp_brut,immo_incorp_brut,amort_corp,amort_incorp,capitaux_propres,capital_social,dettes_total,dettes_courantes,dettes_non_courantes,fournisseurs,passif_total,ca,resultat_exploitation,resultat_net,charges_personnel,dotations_amort,charges_expl_total,produits_expl_total,resultat_financier_net,produits_placements,ebe,va,marge_commerciale,production,achats_consommes,marge_cout_matieres,ventes_marchandises,capitaux_permanents,fonds_roulement,bfr,amort_cumul,immo_brut,charges_decaissables,charges_financieres_est
AB inBev,2015-12-31,2015,FY,USD,million,,,,2862.0,913.0,6923.0,48.0,,,,,,1736.0,,,,1241.0,134635.0,43604.0,13768.0,9867.0,,,,,,,16839.0,,,,,,,,,2534.0,0.0,0.0,,
AB inBev,2016-12-31,2016,FY,USD,million,,,,,,,,,,,,,,,,,,,53942.0,13276.0,2769.0,,,,,,,16753.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2017-12-31,2017,FY,USD,million,,,,,,,,,,,,,,,,,,,56444.0,17814.0,9183.0,,,,,,,22084.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2018-12-31,2018,FY,USD,million,,,,,,,,,,,,,,,,,,,53041.0,17107.0,5688.0,,,,,,,21732.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2019-12-31,2019,FY,USD,million,,,,,,,,,,,,,,,,,,,52329.0,16421.0,10414.0,,,,,,,21078.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2020-12-31,2020,FY,USD,million,,,,,,,,,,,,,,,,,,,46881.0,12723.0,2202.0,,,,,,,17321.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2021-12-31,2021,FY,USD,million,,,,,,,,,,,,,,,,,,,54304.0,14438.0,6114.0,,,,,,,19209.0,,,,,,,,,0.0,0.0,0.0,,
AB inBev,2022-12-31,2022,FY,USD,million,212943.0,23186.0,189757.0,6612.0,1782.0,9973.0,175.0,,,,,84278.0,1736.0,128665.0,34383.0,94282.0,859.0,212943.0,57786.0,14768.0,7597.0,,,,,,,19843.0,,,,,,,178560.0,-11197.0,7535.0,0.0,0.0,,
AB inBev,2023-12-31,2023,FY,USD,million,219340.0,23367.0,195973.0,5583.0,1941.0,10332.0,178.0,,,,,92676.0,1736.0,126664.0,37156.0,89508.0,738.0,219340.0,59380.0,14590.0,6891.0,,,,,,,19976.0,,,,,,,182184.0,-13789.0,6786.0,0.0,0.0,,
AB inBev,2024-12-31,2024,FY,USD,million,206637.0,22999.0,183637.0,5020.0,1577.0,11174.0,168.0,,,,,88700.0,1736.0,117937.0,33066.0,84871.0,797.0,206637.0,59768.0,15462.0,7416.0,,,,,,,20958.0,,,,,,,173571.0,-10066.0,5800.0,0.0,0.0,,
AB inBev,2025-12-31,2025,FY,USD,million,218808.0,24769.0,194039.0,5107.0,1871.0,11638.0,161.0,,,,,97736.0,1736.0,121072.0,34475.0,86596.0,869.0,218808.0,59320.0,15854.0,8477.0,,,,,,,21223.0,,,,,,,184332.0,-9707.0,6109.0,0.0,0.0,,
