Societe,Date,Annee,Periode,Devise,Categorie,Sous_categorie,Code_ratio,Ratio,Unite,Valeur,Benchmark,Note_sur_5
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Liquidités,LIQ_GEN,Ratio de liquidité générale,x,,"1,5 à 2,0",
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Liquidités,LIQ_RED,Ratio de liquidité réduite,x,,"0,9 à 1,2",
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Liquidités,LIQ_IMM,Ratio de liquidité immédiate,x,,"0,30 à 0,80",
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Liquidités,INT_DEF_RED,Intervalle défensif réduit,j,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Liquidités,INT_DEF,Intervalle défensif,j,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Fonds de roulement,FR,Fonds de roulement (FR),montant,,positif,
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Fonds de roulement,COUV_IMMO,Couverture des immobilisations,x,,"1,2 à 1,5",
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Fonds de roulement,BFR,Besoin en fonds de roulement (BFR),montant,2534.0,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des liquidités,Fonds de roulement,BFR_JOURS,Ratio BFR (jours de CA),j,21.2116,30 à 60 j,5.0
AB inBev,2015-12-31,2015,FY,USD,Gestion des actifs,Gestion des actifs,LEV_ECO,Ratio du levier économique,x,,2 à 3,
AB inBev,2015-12-31,2015,FY,USD,Gestion des actifs,Gestion des actifs,POIDS_IMMO,Poids des immobilisations,%,,45 % à 65 %,
AB inBev,2015-12-31,2015,FY,USD,Gestion des actifs,Gestion des actifs,VETUSTE,Vétusté des immobilisations corporelles,%,,30 % à 60 %,
AB inBev,2015-12-31,2015,FY,USD,Gestion des passifs,Structure financière,ENDET_GLOB,Ratio d'endettement global,%,,40 % à 60 %,
AB inBev,2015-12-31,2015,FY,USD,Gestion des passifs,Structure financière,ENDET_TERME,Ratio d'endettement à terme,%,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des passifs,Structure financière,INDEP_FIN,Indépendance financière,x,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des passifs,Structure financière,AUTO_FIN,Autonomie financière,%,,35 % à 50 %,
AB inBev,2015-12-31,2015,FY,USD,Gestion des passifs,Structure financière,SOLVA,Solvabilité,x,,"1,5 à 2",
AB inBev,2015-12-31,2015,FY,USD,Ressources humaines,Productivité RH,EFF_BRUT_RH,Efficacité brute des RH,x,,,
AB inBev,2015-12-31,2015,FY,USD,Ressources humaines,Productivité RH,EFF_NET_RH,Efficacité nette des RH,x,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des risques,Gestion des risques,RISQ_PLACEMENT,Risque de placement,%,,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des risques,Gestion des risques,RISQ_COMMERCIAL,Risque commercial,%,2.0938,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des risques,Gestion des risques,CREDIT_CLIENT,Crédit moyen clients,j,7.6425,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des risques,Gestion des risques,CREDIT_FOURN,Crédit moyen fournisseurs,j,-26.432,,
AB inBev,2015-12-31,2015,FY,USD,Gestion des risques,Gestion des risques,CONAN_HOLDER,Score de Conan & Holder,score,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité commerciale,RENT_COM,Rentabilité commerciale,%,31.5751,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité commerciale,MARGE_NETTE,Marge nette,%,22.6287,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité commerciale,ROT_CAP,Rotation des capitaux,x,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité économique,ROA,Rendement de l'actif (ROA),%,,5 % à 10 %,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité économique,ROCE,Rentabilité du capital investi (ROCE),%,,10 % à 15 %,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité économique,REND_IMMO,Rendement brut des immobilisations,%,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité économique,REND_RES_STABLE,Rendement brut des ressources stables,%,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité d'exploitation,MARGE_BRUTE_EXPL,Marge brute d'exploitation,%,38.618,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité d'exploitation,MARGE_BENEF_EXPL,Marge bénéficiaire d'exploitation,%,31.5751,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité opérationnelle,REND_PRODUCTION,Rendement de la production,%,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité opérationnelle,ROT_STOCKS,Rotation des stocks,x,-5.9878,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité opérationnelle,PROFIT_OP,Profit opérationnel,montant,13768.0,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité opérationnelle,CREATION_VALEUR,Création de valeur annuelle,montant,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité financière,ROE,Rentabilité des capitaux propres (ROE),%,,10 % à 15 %,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité financière,PERF_PLACEMENT,Performance des placements,%,,,
AB inBev,2015-12-31,2015,FY,USD,Rentabilité,Rentabilité financière,ROI,Retour sur investissement (ROI),%,,,
AB inBev,2015-12-31,2015,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DSO,Délai moyen de recouvrement clients (DSO),j,7.6425,30 à 60 j,4.0
AB inBev,2015-12-31,2015,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DPO,Délai moyen de paiement fournisseurs (DPO),j,-26.432,45 à 75 j,2.0
AB inBev,2015-12-31,2015,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DIO,Durée moyenne de stockage (DIO),j,-60.9576,45 à 90 j,4.0
AB inBev,2015-12-31,2015,FY,USD,Indicateurs complémentaires,Complémentaires,TRESO_NETTE,Trésorerie nette,montant,6923.0,,
AB inBev,2015-12-31,2015,FY,USD,Indicateurs complémentaires,Complémentaires,TAUX_VA,Taux de valeur ajoutée,%,,,
AB inBev,2015-12-31,2015,FY,USD,Indicateurs complémentaires,Complémentaires,PART_PERSO_VA,Part du personnel dans la VA,%,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Liquidités,LIQ_GEN,Ratio de liquidité générale,x,,"1,5 à 2,0",
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Liquidités,LIQ_RED,Ratio de liquidité réduite,x,,"0,9 à 1,2",
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Liquidités,LIQ_IMM,Ratio de liquidité immédiate,x,,"0,30 à 0,80",
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Liquidités,INT_DEF_RED,Intervalle défensif réduit,j,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Liquidités,INT_DEF,Intervalle défensif,j,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Fonds de roulement,FR,Fonds de roulement (FR),montant,,positif,
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Fonds de roulement,COUV_IMMO,Couverture des immobilisations,x,,"1,2 à 1,5",
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Fonds de roulement,BFR,Besoin en fonds de roulement (BFR),montant,0.0,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des liquidités,Fonds de roulement,BFR_JOURS,Ratio BFR (jours de CA),j,0.0,30 à 60 j,5.0
AB inBev,2016-12-31,2016,FY,USD,Gestion des actifs,Gestion des actifs,LEV_ECO,Ratio du levier économique,x,,2 à 3,
AB inBev,2016-12-31,2016,FY,USD,Gestion des actifs,Gestion des actifs,POIDS_IMMO,Poids des immobilisations,%,,45 % à 65 %,
AB inBev,2016-12-31,2016,FY,USD,Gestion des actifs,Gestion des actifs,VETUSTE,Vétusté des immobilisations corporelles,%,,30 % à 60 %,
AB inBev,2016-12-31,2016,FY,USD,Gestion des passifs,Structure financière,ENDET_GLOB,Ratio d'endettement global,%,,40 % à 60 %,
AB inBev,2016-12-31,2016,FY,USD,Gestion des passifs,Structure financière,ENDET_TERME,Ratio d'endettement à terme,%,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des passifs,Structure financière,INDEP_FIN,Indépendance financière,x,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des passifs,Structure financière,AUTO_FIN,Autonomie financière,%,,35 % à 50 %,
AB inBev,2016-12-31,2016,FY,USD,Gestion des passifs,Structure financière,SOLVA,Solvabilité,x,,"1,5 à 2",
AB inBev,2016-12-31,2016,FY,USD,Ressources humaines,Productivité RH,EFF_BRUT_RH,Efficacité brute des RH,x,,,
AB inBev,2016-12-31,2016,FY,USD,Ressources humaines,Productivité RH,EFF_NET_RH,Efficacité nette des RH,x,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des risques,Gestion des risques,RISQ_PLACEMENT,Risque de placement,%,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des risques,Gestion des risques,RISQ_COMMERCIAL,Risque commercial,%,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des risques,Gestion des risques,CREDIT_CLIENT,Crédit moyen clients,j,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des risques,Gestion des risques,CREDIT_FOURN,Crédit moyen fournisseurs,j,,,
AB inBev,2016-12-31,2016,FY,USD,Gestion des risques,Gestion des risques,CONAN_HOLDER,Score de Conan & Holder,score,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité commerciale,RENT_COM,Rentabilité commerciale,%,24.6116,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité commerciale,MARGE_NETTE,Marge nette,%,5.1333,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité commerciale,ROT_CAP,Rotation des capitaux,x,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité économique,ROA,Rendement de l'actif (ROA),%,,5 % à 10 %,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité économique,ROCE,Rentabilité du capital investi (ROCE),%,,10 % à 15 %,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité économique,REND_IMMO,Rendement brut des immobilisations,%,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité économique,REND_RES_STABLE,Rendement brut des ressources stables,%,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité d'exploitation,MARGE_BRUTE_EXPL,Marge brute d'exploitation,%,31.0574,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité d'exploitation,MARGE_BENEF_EXPL,Marge bénéficiaire d'exploitation,%,24.6116,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité opérationnelle,REND_PRODUCTION,Rendement de la production,%,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité opérationnelle,ROT_STOCKS,Rotation des stocks,x,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité opérationnelle,PROFIT_OP,Profit opérationnel,montant,13276.0,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité opérationnelle,CREATION_VALEUR,Création de valeur annuelle,montant,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité financière,ROE,Rentabilité des capitaux propres (ROE),%,,10 % à 15 %,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité financière,PERF_PLACEMENT,Performance des placements,%,,,
AB inBev,2016-12-31,2016,FY,USD,Rentabilité,Rentabilité financière,ROI,Retour sur investissement (ROI),%,,,
AB inBev,2016-12-31,2016,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DSO,Délai moyen de recouvrement clients (DSO),j,,30 à 60 j,
AB inBev,2016-12-31,2016,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DPO,Délai moyen de paiement fournisseurs (DPO),j,,45 à 75 j,
AB inBev,2016-12-31,2016,FY,USD,Cycle d'exploitation,Cycle d'exploitation,DIO,Durée moyenne de stockage (DIO),j,,45 à 90 j,
AB inBev,2016-12-31,2016,FY,USD,Indicateurs complémentaires,Complémentaires,TRESO_NETTE,Trésorerie nette,montant,,,
AB inBev,2016-12-31,2016,FY,USD,Indicateurs complémentaires,Complémentaires,TAUX_VA,Taux de valeur ajoutée,%,,,
AB inBev,2016-12-31,2016,FY,USD,Indicateurs complémentaires,Complémentaires,PART_PERSO_VA,Part du personnel dans la VA,%,,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Liquidités,LIQ_GEN,Ratio de liquidité générale,x,,"1,5 à 2,0",
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Liquidités,LIQ_RED,Ratio de liquidité réduite,x,,"0,9 à 1,2",
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Liquidités,LIQ_IMM,Ratio de liquidité immédiate,x,,"0,30 à 0,80",
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Liquidités,INT_DEF_RED,Intervalle défensif réduit,j,,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Liquidités,INT_DEF,Intervalle défensif,j,,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Fonds de roulement,FR,Fonds de roulement (FR),montant,,positif,
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Fonds de roulement,COUV_IMMO,Couverture des immobilisations,x,,"1,2 à 1,5",
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Fonds de roulement,BFR,Besoin en fonds de roulement (BFR),montant,0.0,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des liquidités,Fonds de roulement,BFR_JOURS,Ratio BFR (jours de CA),j,0.0,30 à 60 j,5.0
AB inBev,2017-12-31,2017,FY,USD,Gestion des actifs,Gestion des actifs,LEV_ECO,Ratio du levier économique,x,,2 à 3,
AB inBev,2017-12-31,2017,FY,USD,Gestion des actifs,Gestion des actifs,POIDS_IMMO,Poids des immobilisations,%,,45 % à 65 %,
AB inBev,2017-12-31,2017,FY,USD,Gestion des actifs,Gestion des actifs,VETUSTE,Vétusté des immobilisations corporelles,%,,30 % à 60 %,
AB inBev,2017-12-31,2017,FY,USD,Gestion des passifs,Structure financière,ENDET_GLOB,Ratio d'endettement global,%,,40 % à 60 %,
AB inBev,2017-12-31,2017,FY,USD,Gestion des passifs,Structure financière,ENDET_TERME,Ratio d'endettement à terme,%,,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des passifs,Structure financière,INDEP_FIN,Indépendance financière,x,,,
AB inBev,2017-12-31,2017,FY,USD,Gestion des passifs,Structure financière,AUTO_FIN,Autonomie financière,%,,35 % à 50 %,
AB inBev,2017-12-31,2017,FY,USD,Gestion des passifs,Structure financière,SOLVA,Solvabilité,x,,"1,5 à 2",
AB inBev,2017-12-31,2017,FY,USD,Ressources humaines,Productivité RH,EFF_BRUT_RH,Efficacité brute des RH,x,,,
