Societe,Statement,Indicateur,Indicateur_raw,Cle_indicateur,Date,Annee,Periode,Valeur,Occurrence,Devise,Echelle,Type_donnee,Source
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2005-09-30,2005,9M,-87001798.38,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2006-03-31,2006,T1,-90192653.287,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2006-09-30,2006,9M,-93286263.118,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2007-03-31,2007,T1,-96421213.365,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2007-09-30,2007,9M,-100074558.629,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2008-03-31,2008,T1,-103380102.898,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2008-09-30,2008,9M,-106551024.209,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2009-03-31,2009,T1,-109904496.911,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2009-09-30,2009,9M,-112974151.561,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2010-03-31,2010,T1,-116196354.872,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2010-09-30,2010,9M,-119307812.632,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2011-03-31,2011,T1,-122632792.039,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2011-09-30,2011,9M,-127074937.273,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2012-03-31,2012,T1,-131009208.773,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2012-09-30,2012,9M,-135397391.817,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2013-03-31,2013,T1,-140726080.623,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2013-09-30,2013,9M,-145956237.195,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2014-03-31,2014,T1,-151347069.595,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2014-09-30,2014,9M,-156769363.197,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2015-03-31,2015,T1,-162684637.126,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2015-09-30,2015,9M,-169253164.392,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2016-03-31,2016,T1,-175957404.131,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2016-09-30,2016,9M,-183434051.242,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2017-03-31,2017,T1,-191501125.483,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2017-09-30,2017,9M,-208564708.726,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2018-03-31,2018,T1,-216383422.801,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2018-09-30,2018,9M,-228503808.09,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2019-03-31,2019,T1,-239533040.153,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2019-09-30,2019,9M,-227349309.958,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2020-03-31,2020,T1,-240081360.114,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2020-09-30,2020,9M,-265234246.127,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2021-03-31,2021,T1,-278542481.969,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2021-09-30,2021,9M,,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2022-03-31,2022,T1,,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2022-09-30,2022,9M,,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2023-03-31,2023,T1,,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2023-09-30,2023,9M,-313042286.641,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2024-03-31,2024,T1,-325659940.745,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2024-09-30,2024,9M,-338704619.525,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations corporelles,Amortissements des immobilisations corporelles,amortissementsdesimmobilisationscorporelles,2025-03-31,2025,T1,-351845476.53,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2005-09-30,2005,9M,-200760.549,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2006-03-31,2006,T1,-228888.529,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2006-09-30,2006,9M,-244082.601,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2007-03-31,2007,T1,-265348.603,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2007-09-30,2007,9M,-281672.044,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2008-03-31,2008,T1,-298497.138,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2008-09-30,2008,9M,-321980.877,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2009-03-31,2009,T1,-347672.092,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2009-09-30,2009,9M,-371806.446,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2010-03-31,2010,T1,-401334.31,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2010-09-30,2010,9M,-427263.084,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2011-03-31,2011,T1,-450704.847,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2011-09-30,2011,9M,-475912.62,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2012-03-31,2012,T1,-516019.12,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2012-09-30,2012,9M,-568177.019,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2013-03-31,2013,T1,-619236.373,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2013-09-30,2013,9M,-673731.689,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2014-03-31,2014,T1,-728133.87,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2014-09-30,2014,9M,-780476.849,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2015-03-31,2015,T1,-824482.342,1,TND,unite,Estime,augmentation (estimation trimestrielle)
SFBT,Bilan - Actif,Amortissements des immobilisations incorporelles,Amortissements des immobilisations incorporelles,amortissementsdesimmobilisationsincorporelles,2015-09-30,2015,9M,-860970.224,1,TND,unite,Estime,augmentation (estimation trimestrielle)
