Societe,Date,Annee,Periode,Liquidité,Structure financière,Gestion des actifs,Gestion des risques,Rentabilité,Productivité RH,Cycle d'exploitation,SGPI_sur_100,Couverture_%
AB inBev,2015-12-31,2015,FY,,,,,,,3.75,75.0,10.0
AB inBev,2016-12-31,2016,FY,,,,,,,5.0,100.0,10.0
AB inBev,2017-12-31,2017,FY,,,,,,,5.0,100.0,10.0
AB inBev,2018-12-31,2018,FY,,,,,,,5.0,100.0,10.0
AB inBev,2019-12-31,2019,FY,,,,,,,5.0,100.0,10.0
AB inBev,2020-12-31,2020,FY,,,,,,,5.0,100.0,10.0
AB inBev,2021-12-31,2021,FY,,,,,,,5.0,100.0,10.0
AB inBev,2022-12-31,2022,FY,0.5,3.0,2.0,,3.0,,3.5,48.8,85.0
AB inBev,2023-12-31,2023,FY,0.5,3.75,2.0,,3.0,,3.5,52.4,85.0
AB inBev,2024-12-31,2024,FY,1.25,3.75,2.0,,3.0,,3.5,55.0,85.0
AB inBev,2025-12-31,2025,FY,1.25,3.75,2.0,,3.0,,3.5,55.0,85.0
Coca-Cola,2015-12-31,2015,FY,2.0,1.5,3.5,,4.33,,4.33,62.2,85.0
Coca-Cola,2016-12-31,2016,FY,2.0,1.5,3.5,,4.33,,4.33,62.2,85.0
Coca-Cola,2017-12-31,2017,FY,2.33,1.0,3.5,,3.67,,4.33,57.1,85.0
Coca-Cola,2018-12-31,2018,FY,1.75,1.0,2.0,,4.0,,4.33,51.7,85.0
Coca-Cola,2019-12-31,2019,FY,0.5,1.0,2.0,,4.0,,4.33,47.3,85.0
Coca-Cola,2020-12-31,2020,FY,2.75,1.0,2.0,,4.0,,4.33,55.2,85.0
Coca-Cola,2021-12-31,2021,FY,2.5,1.5,2.0,,4.0,,4.33,56.7,85.0
Coca-Cola,2022-12-31,2022,FY,2.5,1.5,2.0,,4.0,,4.33,56.7,85.0
Coca-Cola,2023-12-31,2023,FY,2.5,1.5,2.0,,4.0,,4.33,56.7,85.0
Coca-Cola,2024-12-31,2024,FY,2.0,1.5,2.0,,4.33,,3.33,54.5,85.0
Coca-Cola,2025-12-31,2025,FY,3.0,1.5,2.0,,4.0,,4.33,58.4,85.0
DELICE,2015-12-31,2015,FY,5.0,3.75,3.0,0.0,0.67,5.0,5.0,57.3,100.0
DELICE,2016-12-31,2016,FY,5.0,3.75,3.0,0.0,0.67,5.0,5.0,57.3,100.0
DELICE,2017-12-31,2017,FY,5.0,3.75,3.0,0.0,0.67,5.0,5.0,57.3,100.0
DELICE,2018-12-31,2018,FY,1.33,2.25,4.33,,4.33,,4.5,66.7,85.0
DELICE,2019-12-31,2019,FY,1.33,1.5,3.67,,4.33,,4.5,60.8,85.0
DELICE,2020-12-31,2020,FY,5.0,3.75,3.33,0.0,,,,66.7,60.0
DELICE,2021-12-31,2021,FY,5.0,3.75,3.33,0.0,,,,66.7,60.0
DELICE,2022-12-31,2022,FY,5.0,3.75,3.33,0.0,,,,66.7,60.0
DELICE,2023-12-31,2023,FY,5.0,3.75,3.33,0.0,,,,66.7,60.0
DELICE,2024-12-31,2024,FY,5.0,3.75,2.33,3.0,,,,71.7,60.0
DELICE,2025-12-31,2025,FY,5.0,3.75,1.67,3.0,,,,68.3,60.0
SFBT,2005-03-31,2005,T1,,,,,,5.0,5.0,100.0,15.0
SFBT,2005-06-30,2005,S1,2.0,4.0,4.0,3.0,3.67,5.0,0.75,64.8,100.0
SFBT,2005-09-30,2005,9M,2.25,3.75,4.0,3.0,4.0,4.0,0.75,65.3,100.0
SFBT,2005-12-31,2005,FY,3.25,3.75,3.0,3.0,4.0,4.0,1.75,67.3,100.0
SFBT,2006-03-31,2006,T1,2.75,3.75,4.0,3.0,2.33,5.0,0.75,59.4,100.0
SFBT,2006-06-30,2006,S1,2.5,4.0,4.0,3.0,3.67,5.0,0.75,66.3,100.0
SFBT,2006-09-30,2006,9M,2.25,3.75,4.0,3.0,4.67,5.0,0.75,69.6,100.0
SFBT,2006-12-31,2006,FY,2.75,3.75,4.0,3.0,4.0,4.0,2.25,69.8,100.0
SFBT,2007-03-31,2007,T1,2.75,3.75,4.0,3.0,2.33,5.0,0.75,59.4,100.0
SFBT,2007-06-30,2007,S1,2.75,3.75,3.0,3.0,3.67,5.0,0.75,63.1,100.0
SFBT,2007-09-30,2007,9M,2.75,3.75,4.0,3.0,4.67,5.0,0.75,71.1,100.0
SFBT,2007-12-31,2007,FY,3.25,3.75,4.0,3.0,4.0,5.0,2.5,72.8,100.0
SFBT,2008-03-31,2008,T1,3.25,3.75,4.0,3.0,2.33,5.0,0.75,60.9,100.0
SFBT,2008-06-30,2008,S1,3.25,3.75,5.0,3.0,3.67,5.0,0.75,70.6,100.0
SFBT,2008-09-30,2008,9M,3.25,3.75,4.0,3.0,4.67,5.0,0.75,72.6,100.0
