Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
AB inBev,Inconnu,derives,2015-12-31,4,295 | 3268 | 315 | 3980,Dérivés
AB inBev,Inconnu,derives,2022-12-31,4,60 | 331 | 184 | 5308,Dérivés
AB inBev,Inconnu,derives,2023-12-31,4,44 | 505 | 151 | 5318,Dérivés
AB inBev,Inconnu,derives,2024-12-31,4,261 | 554 | 68 | 5817,Dérivés
AB inBev,Inconnu,derives,2025-12-31,4,145 | 583 | 293 | 6104,Dérivés
AB inBev,Inconnu,beneficedesactivitesabandonneessousjacentetnonsousjacent,2020-12-31,3,2055 | -2055 | -1.03,Bénéfice des activités abandonnées (sous-jacent et non sous-jacent)
AB inBev,Inconnu,ebitnormalise,2016-12-31,3,13276 | 15520 | 7.72,EBIT Normalisé
AB inBev,Inconnu,impotsurleresultatordinaire,2015-12-31,3,2594 | -2594 | -2355,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2016-12-31,3,-1613 | -0.98 | 1613,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2017-12-31,3,-1920 | -1.6 | 1920,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2018-12-31,3,-2585 | -1.56 | 2585,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2019-12-31,3,-2786 | -1.4 | 2786,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2020-12-31,3,-1932 | 1932 | -1.04,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2021-12-31,3,-2350 | 2350 | -1.34,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2022-12-31,3,-1928 | 1928 | -1.16,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2023-12-31,3,-2234 | 2234 | -1.15,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2024-12-31,3,-3152 | -1.47 | 3152,Impôt sur le résultat ordinaire
AB inBev,Inconnu,impotsurleresultatordinaire,2025-12-31,3,-2850 | -1.52 | 2850,Impôt sur le résultat ordinaire
